,I_h,Hz,Perturbation time,PRC
0,100.0,14.1,6.956298013249475e-12,0.014999999999986358
1,100.0,14.1,0.0009866798293555325,0.01999999999998181
2,100.0,14.1,0.0019733596517531645,0.01999999999998181
3,100.0,14.1,0.002960039474152399,0.01999999999998181
4,100.0,14.1,0.003946719296550031,0.01999999999998181
5,100.0,14.1,0.0050038762491205245,0.01999999999998181
6,100.0,14.1,0.005990556071519759,0.01999999999998181
7,100.0,14.1,0.006977235893917391,0.01999999999998181
8,100.0,14.1,0.007963915716316626,0.01999999999998181
9,100.0,14.1,0.008950595538714258,0.01999999999998181
10,100.0,14.1,0.01000775249128475,0.01999999999998181
11,100.0,14.1,0.010994432313682384,0.01999999999998181
12,100.0,14.1,0.011981112136081619,0.01999999999998181
13,100.0,14.1,0.012967791958480851,0.01999999999998181
14,100.0,14.1,0.013954471780878485,0.01999999999998181
15,100.0,14.1,0.015011628733448978,0.01999999999998181
16,100.0,14.1,0.01599830855584661,0.01999999999998181
17,100.0,14.1,0.016984988378245844,0.01999999999998181
18,100.0,14.1,0.017971668200643477,0.01999999999998181
19,100.0,14.1,0.01895834802304271,0.01999999999998181
20,100.0,14.1,0.020015504975613205,0.01999999999998181
21,100.0,14.1,0.021002184798010838,0.01999999999998181
22,100.0,14.1,0.02198886462041007,0.01999999999998181
23,100.0,14.1,0.022975544442807704,0.01999999999998181
24,100.0,14.1,0.023962224265206937,0.01999999999998181
25,100.0,14.1,0.02501938121777583,0.01999999999998181
26,100.0,14.1,0.02600606104017506,0.01999999999998181
27,100.0,14.1,0.026992740862574298,0.01999999999998181
28,100.0,14.1,0.02797942068497193,0.01999999999998181
29,100.0,14.1,0.028966100507371164,0.01999999999998181
30,100.0,14.1,0.030023257459940056,0.01999999999998181
31,100.0,14.1,0.03100993728233929,0.01999999999998181
32,100.0,14.1,0.03199661710473692,0.01999999999998181
33,100.0,14.1,0.032983296927136155,0.01999999999998181
34,100.0,14.1,0.03396997674953539,0.01999999999998181
35,100.0,14.1,0.03502713370210428,0.01999999999998181
36,100.0,14.1,0.036013813524503516,0.01999999999998181
37,100.0,14.1,0.03700049334690115,0.01999999999998181
38,100.0,14.1,0.037987173169300385,0.01999999999998181
39,100.0,14.1,0.03897385299169801,0.01999999999998181
40,100.0,14.1,0.04003100994426851,0.01999999999998181
41,100.0,14.1,0.041017689766667746,0.01999999999998181
42,100.0,14.1,0.04200436958906537,0.01999999999998181
43,100.0,14.1,0.04299104941146461,0.01999999999998181
44,100.0,14.1,0.04397772923386224,0.01999999999998181
45,100.0,14.1,0.045034886186432734,0.01999999999998181
46,100.0,14.1,0.04602156600883037,0.01999999999998181
47,100.0,14.1,0.0470082458312296,0.01999999999998181
48,100.0,14.1,0.047994925653627236,0.01999999999998181
49,100.0,14.1,0.048981605476026466,0.01999999999998181
50,100.0,14.1,0.050038762428596964,0.01999999999998181
51,100.0,14.1,0.0510254422509946,0.01999999999998181
52,100.0,14.1,0.05201212207339383,0.01999999999998181
53,100.0,14.1,0.05299880189579146,0.01999999999998181
54,100.0,14.1,0.053985481718190696,0.01999999999998181
55,100.0,14.1,0.055042638670759585,0.01999999999998181
56,100.0,14.1,0.05602931849315882,0.01999999999998181
57,100.0,14.1,0.05701599831555806,0.01999999999998181
58,100.0,14.1,0.05800267813795569,0.01999999999998181
59,100.0,14.1,0.05898935796035492,0.01999999999998181
60,100.0,14.1,0.060046514912923815,0.01999999999998181
61,100.0,14.1,0.061033194735323044,0.01999999999998181
62,100.0,14.1,0.06201987455772068,0.01999999999998181
63,100.0,14.1,0.06300655438011991,0.01999999999998181
64,100.0,14.1,0.06406371133269041,0.01999999999998181
65,100.0,14.1,0.06505039115508804,0.01999999999998181
66,100.0,14.1,0.06603707097748727,0.01999999999998181
67,100.0,14.1,0.0670237507998849,0.01999999999998181
68,100.0,14.1,0.06801043062228414,0.01999999999998181
69,100.0,14.1,0.06906758757485303,0.01999999999998181
70,100.0,14.1,0.07005426739725226,0.01999999999998181
71,100.0,14.1,0.0710409472196515,0.01999999999998181
72,100.0,14.1,0.07202762704204914,0.01999999999998181
73,100.0,14.1,0.07301430686444836,0.01999999999998181
74,100.0,14.1,0.07407146381701726,0.01999999999998181
75,100.0,14.1,0.0750581436394165,0.01999999999998181
76,100.0,14.1,0.07604482346181413,0.01999999999998181
77,100.0,14.1,0.07703150328421336,0.01999999999998181
78,100.0,14.1,0.0780181831066126,0.01999999999998181
79,100.0,14.1,0.07907534005918149,0.01999999999998181
80,100.0,14.1,0.08006201988158072,0.01999999999998181
81,100.0,14.1,0.08104869970397835,0.01999999999998181
