,I_h,Hz,Perturbation time,PRC
0,100.0,13.15,6.9825413580644405e-12,0.014999999999986358
1,100.0,13.15,0.000986387854685753,0.01999999999998181
2,100.0,13.15,0.0019727757023889642,0.01999999999998181
3,100.0,13.15,0.002959163550090681,0.01999999999998181
4,100.0,13.15,0.003945551397793892,0.01999999999998181
5,100.0,13.15,0.00499769843534239,0.01999999999998181
6,100.0,13.15,0.005984086283045601,0.01999999999998181
7,100.0,13.15,0.006970474130748813,0.01999999999998181
8,100.0,13.15,0.00795686197845053,0.01999999999998181
9,100.0,13.15,0.009009009016000522,0.01999999999998181
10,100.0,13.15,0.009995396863702238,0.01999999999998181
11,100.0,13.15,0.01098178471140545,0.01999999999998181
12,100.0,13.15,0.011968172559108661,0.01999999999998181
13,100.0,13.15,0.012954560406810377,0.01999999999998181
14,100.0,13.15,0.01400670744436037,0.01999999999998181
15,100.0,13.15,0.014993095292063581,0.01999999999998181
16,100.0,13.15,0.0159794831397653,0.01999999999998181
17,100.0,13.15,0.01696587098746851,0.01999999999998181
18,100.0,13.15,0.018018018025017006,0.01999999999998181
19,100.0,13.15,0.019004405872720218,0.01999999999998181
20,100.0,13.15,0.01999079372042343,0.01999999999998181
21,100.0,13.15,0.020977181568125145,0.01999999999998181
22,100.0,13.15,0.021963569415828357,0.01999999999998181
23,100.0,13.15,0.023015716453376855,0.01999999999998181
24,100.0,13.15,0.024002104301080067,0.01999999999998181
25,100.0,13.15,0.02498849214878328,0.01999999999998181
26,100.0,13.15,0.025974879996484995,0.01999999999998181
27,100.0,13.15,0.027027027034034985,0.01999999999998181
28,100.0,13.15,0.0280134148817367,0.01999999999998181
29,100.0,13.15,0.028999802729439913,0.01999999999998181
30,100.0,13.15,0.029986190577143124,0.01999999999998181
31,100.0,13.15,0.030972578424844844,0.01999999999998181
32,100.0,13.15,0.032024725462394835,0.01999999999998181
33,100.0,13.15,0.033011113310096554,0.01999999999998181
34,100.0,13.15,0.033997501157799766,0.01999999999998181
35,100.0,13.15,0.03498388900550298,0.01999999999998181
36,100.0,13.15,0.03603603604305147,0.01999999999998181
37,100.0,13.15,0.037022423890754684,0.01999999999998181
38,100.0,13.15,0.038008811738457896,0.01999999999998181
39,100.0,13.15,0.03899519958615961,0.01999999999998181
40,100.0,13.15,0.03998158743386282,0.01999999999998181
41,100.0,13.15,0.04103373447141132,0.01999999999998181
42,100.0,13.15,0.04202012231911453,0.01999999999998181
43,100.0,13.15,0.043006510166817745,0.01999999999998181
44,100.0,13.15,0.04399289801451946,0.01999999999998181
45,100.0,13.15,0.04504504505206945,0.01999999999998181
46,100.0,13.15,0.04603143289977117,0.01999999999998181
47,100.0,13.15,0.04701782074747438,0.01999999999998181
48,100.0,13.15,0.048004208595177594,0.01999999999998181
49,100.0,13.15,0.04899059644287931,0.01999999999998181
50,100.0,13.15,0.0500427434804293,0.01999999999998181
51,100.0,13.15,0.051029131328131014,0.01999999999998181
52,100.0,13.15,0.052015519175834225,0.01999999999998181
53,100.0,13.15,0.05300190702353744,0.01999999999998181
54,100.0,13.15,0.05405405406108594,0.01999999999998181
55,100.0,13.15,0.05504044190878915,0.01999999999998181
56,100.0,13.15,0.05602682975649086,0.01999999999998181
57,100.0,13.15,0.057013217604194075,0.01999999999998181
58,100.0,13.15,0.057999605451897286,0.01999999999998181
59,100.0,13.15,0.05905175248944578,0.01999999999998181
60,100.0,13.15,0.06003814033714899,0.01999999999998181
61,100.0,13.15,0.06102452818485221,0.01999999999998181
62,100.0,13.15,0.062010916032553924,0.01999999999998181
63,100.0,13.15,0.06306306307010391,0.01999999999998181
64,100.0,13.15,0.06404945091780563,0.01999999999998181
65,100.0,13.15,0.06503583876550885,0.01999999999998181
66,100.0,13.15,0.06602222661321205,0.01999999999998181
67,100.0,13.15,0.06700861446091377,0.01999999999998181
68,100.0,13.15,0.06806076149846377,0.01999999999998181
69,100.0,13.15,0.06904714934616549,0.01999999999998181
70,100.0,13.15,0.07003353719386869,0.01999999999998181
71,100.0,13.15,0.07101992504157191,0.01999999999998181
72,100.0,13.15,0.0720720720791204,0.01999999999998181
73,100.0,13.15,0.07305845992682361,0.01999999999998181
74,100.0,13.15,0.07404484777452533,0.01999999999998181
75,100.0,13.15,0.07503123562222853,0.01999999999998181
76,100.0,13.15,0.07601762346993175,0.01999999999998181
77,100.0,13.15,0.07706977050748025,0.01999999999998181
