,I_h,Hz,Perturbation time,PRC
0,100.0,38.98,0.0,-1.836895080487011e-10
1,100.0,38.98,0.0019880715705760626,-1.836895080487011e-10
2,100.0,38.98,0.003976143141153234,-1.836895080487011e-10
3,100.0,38.98,0.0060031965072309835,-1.836895080487011e-10
4,100.0,38.98,0.007991268077807047,-1.836895080487011e-10
5,100.0,38.98,0.010018321443885904,-1.836895080487011e-10
6,100.0,38.98,0.012006393014461967,-1.836895080487011e-10
7,100.0,38.98,0.01399446458503803,-1.836895080487011e-10
8,100.0,38.98,0.016021517951116886,-1.836895080487011e-10
9,100.0,38.98,0.01800958952169295,-1.836895080487011e-10
10,100.0,38.98,0.0200366428877707,-1.836895080487011e-10
11,100.0,38.98,0.02202471445834787,-1.836895080487011e-10
12,100.0,38.98,0.024012786028923934,-1.836895080487011e-10
13,100.0,38.98,0.026039839395001683,-1.836895080487011e-10
14,100.0,38.98,0.028027910965578853,-1.836895080487011e-10
15,100.0,38.98,0.0300549643316566,-1.836895080487011e-10
16,100.0,38.98,0.03204303590223377,-1.836895080487011e-10
17,100.0,38.98,0.03403110747280984,-1.836895080487011e-10
18,100.0,38.98,0.03605816083888758,-1.836895080487011e-10
19,100.0,38.98,0.03804623240946476,-1.836895080487011e-10
20,100.0,38.98,0.040073285775542505,-1.836895080487011e-10
21,100.0,38.98,0.04206135734611857,-1.836895080487011e-10
22,100.0,38.98,0.04404942891669574,-1.836895080487011e-10
23,100.0,38.98,0.04607648228277349,-1.836895080487011e-10
24,100.0,38.98,0.048064553853350664,-1.836895080487011e-10
25,100.0,38.98,0.05009160721942841,-1.836895080487011e-10
26,100.0,38.98,0.052079678790004476,-1.836895080487011e-10
27,100.0,38.98,0.05410673215608333,-1.836895080487011e-10
28,100.0,38.98,0.05609480372665939,-1.836895080487011e-10
29,100.0,38.98,0.05808287529723546,-1.836895080487011e-10
30,100.0,38.98,0.06010992866331431,-1.836895080487011e-10
31,100.0,38.98,0.06209800023389038,-1.836895080487011e-10
32,100.0,38.98,0.06412505359996813,-1.836895080487011e-10
33,100.0,38.98,0.0661131251705453,-1.836895080487011e-10
34,100.0,38.98,0.06810119674112136,-1.836895080487011e-10
35,100.0,38.98,0.07012825010720022,-1.836895080487011e-10
36,100.0,38.98,0.07211632167777628,-1.836895080487011e-10
37,100.0,38.98,0.07414337504385403,-1.836895080487011e-10
38,100.0,38.98,0.0761314466144312,-1.836895080487011e-10
39,100.0,38.98,0.07811951818500726,-1.836895080487011e-10
40,100.0,38.98,0.08014657155108501,-1.836895080487011e-10
41,100.0,38.98,0.08213464312166219,-1.836895080487011e-10
42,100.0,38.98,0.08416169648773994,-1.836895080487011e-10
43,100.0,38.98,0.0861497680583171,-1.836895080487011e-10
44,100.0,38.98,0.08813783962889317,-1.836895080487011e-10
45,100.0,38.98,0.09016489299497092,-1.836895080487011e-10
46,100.0,38.98,0.09215296456554808,-1.836895080487011e-10
47,100.0,38.98,0.09418001793162584,-1.836895080487011e-10
48,100.0,38.98,0.0961680895022019,-1.836895080487011e-10
49,100.0,38.98,0.09819514286828075,-1.836895080487011e-10
50,100.0,38.98,0.10018321443885682,-1.836895080487011e-10
51,100.0,38.98,0.10217128600943289,-1.836895080487011e-10
52,100.0,38.98,0.10419833937551175,-1.836895080487011e-10
53,100.0,38.98,0.1061864109460878,-1.836895080487011e-10
54,100.0,38.98,0.10821346431216555,-1.836895080487011e-10
55,100.0,38.98,0.11020153588274273,-1.836895080487011e-10
56,100.0,38.98,0.11218960745331878,-1.836895080487011e-10
57,100.0,38.98,0.11421666081939653,-1.836895080487011e-10
58,100.0,38.98,0.11620473238997371,-1.836895080487011e-10
59,100.0,38.98,0.11823178575605146,-1.836895080487011e-10
60,100.0,38.98,0.12021985732662863,-1.836895080487011e-10
61,100.0,38.98,0.12220792889720469,-1.836895080487011e-10
62,100.0,38.98,0.12423498226328245,-1.836895080487011e-10
63,100.0,38.98,0.12622305383385962,-1.836895080487011e-10
64,100.0,38.98,0.12825010719993737,-1.836895080487011e-10
65,100.0,38.98,0.1302381787705134,-1.836895080487011e-10
66,100.0,38.98,0.1322262503410906,-1.836895080487011e-10
67,100.0,38.98,0.13425330370716834,-1.836895080487011e-10
68,100.0,38.98,0.13624137527774552,-1.836895080487011e-10
69,100.0,38.98,0.13826842864382327,-1.836895080487011e-10
70,100.0,38.98,0.14025650021439934,-1.836895080487011e-10
71,100.0,38.98,0.14228355358047817,-1.836895080487011e-10
72,100.0,38.98,0.14427162515105424,-1.836895080487011e-10
73,100.0,38.98,0.1462596967216303,-1.836895080487011e-10
74,100.0,38.98,0.14828675008770917,-1.836895080487011e-10
75,100.0,38.98,0.15027482165828523,-1.836895080487011e-10
76,100.0,38.98,0.152301875024363,-1.836895080487011e-10
77,100.0,38.98,0.15428994659494016,-1.836895080487011e-10
78,100.0,38.98,0.1562780181655162,-1.836895080487011e-10
79,100.0,38.98,0.15830507153159507,-1.836895080487011e-10
80,100.0,38.98,0.16029314310217113,-1.836895080487011e-10
81,100.0,38.98,0.16232019646824888,-1.836895080487011e-10
82,100.0,38.98,0.16430826803882606,-1.836895080487011e-10
83,100.0,38.98,0.16629633960940213,-1.836895080487011e-10
84,100.0,38.98,0.16832339297547988,-1.836895080487011e-10
85,100.0,38.98,0.17031146454605703,-1.836895080487011e-10
86,100.0,38.98,0.17233851791213478,-1.836895080487011e-10
87,100.0,38.98,0.17432658948271196,-1.836895080487011e-10
88,100.0,38.98,0.17631466105328802,-1.836895080487011e-10
89,100.0,38.98,0.17834171441936578,-1.836895080487011e-10
90,100.0,38.98,0.18032978598994295,-1.836895080487011e-10
