,I_h,Hz,Perturbation time,PRC
0,100.0,43.49,0.0,-1.6467538443976082e-10
1,100.0,43.49,0.0020006958942237426,-1.6467538443976082e-10
2,100.0,43.49,0.004001391788447485,-1.6467538443976082e-10
3,100.0,43.49,0.006002087682672463,-1.6467538443976082e-10
4,100.0,43.49,0.008002783576896206,-1.6467538443976082e-10
5,100.0,43.49,0.01000347947111995,-1.6467538443976082e-10
6,100.0,43.49,0.012004175365343692,-1.6467538443976082e-10
7,100.0,43.49,0.01400487125956867,-1.6467538443976082e-10
8,100.0,43.49,0.01600556715379241,-1.6467538443976082e-10
9,100.0,43.49,0.018006263048016155,-1.6467538443976082e-10
10,100.0,43.49,0.020006958942241134,-1.6467538443976082e-10
11,100.0,43.49,0.022007654836464878,-1.6467538443976082e-10
12,100.0,43.49,0.02400835073068862,-1.6467538443976082e-10
13,100.0,43.49,0.026009046624912362,-1.6467538443976082e-10
14,100.0,43.49,0.028053235908142418,-1.6467538443976082e-10
15,100.0,43.49,0.030053931802366162,-1.6467538443976082e-10
16,100.0,43.49,0.032054627696589906,-1.6467538443976082e-10
17,100.0,43.49,0.034055323590813646,-1.6467538443976082e-10
18,100.0,43.49,0.03605601948503863,-1.6467538443976082e-10
19,100.0,43.49,0.03805671537926237,-1.6467538443976082e-10
20,100.0,43.49,0.04005741127348611,-1.6467538443976082e-10
21,100.0,43.49,0.04205810716770985,-1.6467538443976082e-10
22,100.0,43.49,0.04405880306193483,-1.6467538443976082e-10
23,100.0,43.49,0.04605949895615857,-1.6467538443976082e-10
24,100.0,43.49,0.04806019485038232,-1.6467538443976082e-10
25,100.0,43.49,0.05006089074460606,-1.6467538443976082e-10
26,100.0,43.49,0.05206158663883104,-1.6467538443976082e-10
27,100.0,43.49,0.05410577592205986,-1.6467538443976082e-10
28,100.0,43.49,0.0561064718162836,-1.6467538443976082e-10
29,100.0,43.49,0.05810716771050734,-1.6467538443976082e-10
30,100.0,43.49,0.060107863604732324,-1.6467538443976082e-10
31,100.0,43.49,0.062108559498956065,-1.6467538443976082e-10
32,100.0,43.49,0.06410925539317981,-1.6467538443976082e-10
33,100.0,43.49,0.0661099512874048,-1.6467538443976082e-10
34,100.0,43.49,0.06811064718162853,-1.6467538443976082e-10
35,100.0,43.49,0.07011134307585228,-1.6467538443976082e-10
36,100.0,43.49,0.07211203897007601,-1.6467538443976082e-10
37,100.0,43.49,0.07411273486430099,-1.6467538443976082e-10
38,100.0,43.49,0.07611343075852474,-1.6467538443976082e-10
39,100.0,43.49,0.07811412665274847,-1.6467538443976082e-10
40,100.0,43.49,0.0801583159359773,-1.6467538443976082e-10
41,100.0,43.49,0.08215901183020104,-1.6467538443976082e-10
42,100.0,43.49,0.08415970772442602,-1.6467538443976082e-10
